ym,region,country,visitors,visitors_yoy,visitors_vs_2019,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,guest_nights_vs_2019,updated_at
2019-10,東南アジア,マレーシア,48864,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東南アジア,マレーシア,64987,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東南アジア,マレーシア,78250,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東南アジア,インドネシア,32477,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東南アジア,インドネシア,24622,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東南アジア,インドネシア,39609,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東南アジア,インドネシア,39768,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東南アジア,インドネシア,30107,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東南アジア,インドネシア,49290,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東南アジア,インドネシア,25215,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東南アジア,インドネシア,16160,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東南アジア,インドネシア,25021,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東南アジア,インドネシア,34094,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東南アジア,インドネシア,37213,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東南アジア,インドネシア,59203,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東南アジア,フィリピン,35987,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東南アジア,フィリピン,35170,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東南アジア,フィリピン,48277,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東南アジア,フィリピン,69266,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東南アジア,フィリピン,59578,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東南アジア,フィリピン,46842,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東南アジア,フィリピン,37771,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東南アジア,フィリピン,31470,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東南アジア,フィリピン,37758,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東南アジア,フィリピン,64690,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東南アジア,フィリピン,64763,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東南アジア,フィリピン,81542,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東南アジア,ベトナム,35375,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東南アジア,ベトナム,39377,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東南アジア,ベトナム,47881,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東南アジア,ベトナム,55295,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東南アジア,ベトナム,39900,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東南アジア,ベトナム,35419,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東南アジア,ベトナム,40762,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東南アジア,ベトナム,43709,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東南アジア,ベトナム,38325,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東南アジア,ベトナム,46510,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東南アジア,ベトナム,41892,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東南アジア,ベトナム,30606,,0.0,,,,,,2026-06-09 00:08:19
2019-01,南アジア,インド,12468,,0.0,,,,,,2026-06-09 00:08:19
2019-02,南アジア,インド,9071,,0.0,,,,,,2026-06-09 00:08:19
2019-03,南アジア,インド,17752,,0.0,,,,,,2026-06-09 00:08:19
2019-04,南アジア,インド,18376,,0.0,,,,,,2026-06-09 00:08:19
2019-05,南アジア,インド,19914,,0.0,,,,,,2026-06-09 00:08:19
2019-06,南アジア,インド,15359,,0.0,,,,,,2026-06-09 00:08:19
2019-07,南アジア,インド,13222,,0.0,,,,,,2026-06-09 00:08:19
2019-08,南アジア,インド,13308,,0.0,,,,,,2026-06-09 00:08:19
2019-09,南アジア,インド,15895,,0.0,,,,,,2026-06-09 00:08:19
2019-10,南アジア,インド,13929,,0.0,,,,,,2026-06-09 00:08:19
2019-11,南アジア,インド,14863,,0.0,,,,,,2026-06-09 00:08:19
2019-12,南アジア,インド,11739,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東アジア,マカオ,6608,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東アジア,マカオ,7933,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東アジア,マカオ,8045,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東アジア,マカオ,6873,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東アジア,マカオ,8538,,0.0,,,,,,2026-06-09 00:08:19
