ym,country,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,source,updated_at
2024-01,台湾,秋田県,東北,2860,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,米国,秋田県,東北,110,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,カナダ,秋田県,東北,40,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,英国,秋田県,東北,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ドイツ,秋田県,東北,10,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フランス,秋田県,東北,70,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ロシア,秋田県,東北,0,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,シンガポール,秋田県,東北,40,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,タイ,秋田県,東北,130,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,マレーシア,秋田県,東北,70,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インド,秋田県,東北,40,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,豪州,秋田県,東北,180,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インドネシア,秋田県,東北,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ベトナム,秋田県,東北,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フィリピン,秋田県,東北,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,イタリア,秋田県,東北,0,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,スペイン,秋田県,東北,30,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,その他,秋田県,東北,380,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,総数,山形県,東北,40770,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,韓国,山形県,東北,1230,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,中国,山形県,東北,4210,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,香港,山形県,東北,3590,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,台湾,山形県,東北,19890,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,米国,山形県,東北,580,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,カナダ,山形県,東北,190,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,英国,山形県,東北,210,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ドイツ,山形県,東北,110,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フランス,山形県,東北,120,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ロシア,山形県,東北,10,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,シンガポール,山形県,東北,1040,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,タイ,山形県,東北,2300,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,マレーシア,山形県,東北,1300,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インド,山形県,東北,160,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,豪州,山形県,東北,2140,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インドネシア,山形県,東北,720,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ベトナム,山形県,東北,120,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フィリピン,山形県,東北,250,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,イタリア,山形県,東北,30,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
